n,times
2104,2429
2105,2608
2106,2477
2107,2460
2108,2437
2109,2478
2110,2433
2111,2430
2112,2516
2113,2431
2114,2440
2115,2641
2116,2476
2117,2459
2118,2463
2119,2450
2120,2445
2121,2580
2122,2522
2123,2467
2124,2507
2125,2584
2126,2484
2127,2508
2128,2453
2129,2453
2130,2455
2131,2575
2132,2464
2133,2809
2134,2448
2135,2479
2136,2466
2137,2465
2138,2465
2139,2487
2140,2515
2141,2485
2142,2522
2143,2528
2144,2521
2145,2470
2146,2575
2147,2472
2148,2564
2149,2477
2150,2519
2151,2547
2152,2530
2153,2500
2154,2613
2155,2539
2156,2567
2157,2495
2158,2540
2159,2491
2160,2497
2161,2643
2162,2493
2163,2582
2164,2496
2165,2494
2166,2490
2167,2629
2168,2503
2169,2612
2170,2560
2171,2548
2172,2505
2173,2546
2174,2502
2175,2586
2176,2576
2177,2494
2178,2560
2179,2529
2180,2602
2181,2547
2182,2619
2183,2630
2184,2515
2185,2570
2186,2576
2187,2512
2188,2528
2189,2566
2190,2527
2191,2517
2192,2527
2193,2591
2194,2541
2195,2546
2196,2633
2197,6746
2198,2534
2199,2541
2200,2657
2201,2534
2202,2575
2203,2595
2204,2555
2205,2543
2206,2595
2207,2596
2208,2566
2209,2610
2210,2556
2211,2655
2212,2547
2213,2554
2214,2612
2215,2577
2216,2614
2217,2597
2218,2566
2219,2570
2220,2575
2221,2583
2222,2679
2223,2651
2224,2569
2225,2607
2226,2653
2227,2572
2228,2607
2229,2648
2230,2579
2231,2590
2232,2651
2233,2568
2234,2582
2235,2620
2236,2603
2237,2630
2238,2571
2239,2586
2240,2579
2241,2610
2242,2588
2243,2658
2244,2602
2245,2612
2246,2586
2247,2614
2248,2630
2249,2602
2250,2673
2251,2595
2252,2631
2253,2623
2254,2619
2255,2599
2256,2745
2257,2645
2258,2636
2259,2669
2260,2664
2261,2647
2262,2616
2263,2707
2264,2662
2265,2688
2266,2832
2267,2610
2268,2627
2269,2685
2270,2636
2271,2632
2272,2618
2273,2634
2274,2682
2275,2663
2276,2691
2277,2846
2278,2713
2279,2681
2280,2629
2281,2680
2282,2636
2283,2682
2284,2647
2285,2697
2286,2643
2287,2685
2288,2760
2289,2637
2290,2634
2291,2719
2292,2663
2293,2667
2294,2754
2295,2668
2296,2696
2297,2653
2298,2738
2299,2755
2300,2696
2301,6846
2302,2821
2303,2638
2304,2660
2305,2767
2306,2720
2307,2648
2308,2706
2309,2818
2310,2668
2311,2760
2312,2739
2313,2646
2314,2716
2315,2676
2316,2731
2317,2699
2318,2869
2319,2755
2320,2663
2321,2670
2322,2773
2323,2758
2324,2738
2325,2737
2326,2742
2327,2683
2328,2756
2329,2695
2330,2749
2331,2746
2332,2685
2333,2705
2334,2683
2335,2726
2336,2800
2337,2736
2338,2695
2339,2820
2340,2700
2341,2708
2342,2698
2343,2734
2344,2783
2345,2692
2346,2704
2347,2701
2348,2798
2349,2758
2350,2755
2351,2754
2352,2729
2353,2786
2354,2759
2355,2766
2356,2711
2357,2809
2358,2714
2359,2719
2360,2770
2361,2771
2362,2717
2363,2730
2364,2730
2365,2722
2366,2857
2367,2868
2368,2750
2369,2850
2370,2750
2371,2846
2372,2731
2373,2770
2374,2751
2375,2833
2376,2793
2377,2746
2378,2824
2379,2750
2380,2731
2381,2857
2382,2738
2383,2872
2384,2743
2385,2851
2386,2795
2387,2845
2388,2804
2389,2788
2390,2765
2391,2794
2392,2859
2393,2859
2394,2778
2395,2801
2396,2752
2397,2758
2398,2769
2399,2805
2400,2913
2401,2751
2402,2810
2403,2763
2404,2768
2405,6999
2406,2811
2407,2823
2408,2823
2409,2869
2410,2785
2411,2778
2412,2902
2413,2820
2414,2869
2415,2775
2416,2879
2417,2817
2418,2811
2419,2859
2420,2834
2421,2788
2422,2793
2423,2793
2424,2868
2425,2792
2426,2798
2427,2808
2428,2850
2429,2926
2430,2840
2431,2779
2432,2861
2433,2906
2434,2885
2435,2830
2436,2812
2437,2815
2438,2864
2439,2805
2440,2803
2441,2857
2442,2816
2443,2862
2444,2888
2445,2825
2446,2876
2447,2939
2448,2807
2449,2809
2450,2856
2451,2812
2452,2874
2453,2815
2454,2809
2455,2995
2456,2888
2457,2825
2458,2883
2459,2838
2460,2820
2461,2880
2462,2881
2463,2838
2464,2841
2465,2881
2466,2830
2467,2946
2468,2947
2469,2887
2470,2942
2471,2882
2472,2886
2473,2934
2474,2888
2475,2915
2476,2910
2477,2954
2478,2839
2479,3008
2480,2909
2481,2850
2482,2935
2483,2854
2484,2970
2485,2975
2486,2880
2487,2888
2488,2918
2489,2973
2490,2899
2491,2971
2492,2898
2493,2867
2494,2870
2495,2918
2496,2918
2497,2904
2498,2896
2499,2906
2500,2929
2501,2935
2502,2921
2503,2897
2504,2927
2505,2993
2506,2935
2507,2871
2508,2868
2509,2962
2510,2861
2511,2938
2512,2926
2513,2871
2514,2960
2515,2930
2516,2971
2517,2935
2518,2929
2519,2911
2520,2953
2521,2945
2522,2933
2523,2934
2524,2924
2525,2925
2526,2896
2527,2994
2528,2964
2529,2900
2530,2999
2531,2906
2532,2958
2533,2883
2534,2911
2535,2899
2536,3013
2537,2915
2538,3006
2539,3016
2540,2902
2541,2915
2542,2937
2543,3016
2544,2919
2545,2912
2546,2975
2547,2946
2548,2918
2549,2983
2550,2938
2551,2997
2552,2967
2553,2925
2554,2926
2555,2929
2556,2926
2557,2938
2558,2970
2559,2976
2560,2943
2561,3038
2562,2940
2563,3376
2564,2998
2565,3031
2566,2959
2567,2949
2568,3018
2569,2944
2570,2948
2571,3089
2572,2997
2573,2944
2574,2927
2575,2960
2576,3074
2577,2982
2578,2951
2579,3051
2580,2964
2581,2960
2582,2986
2583,3046
2584,2946
2585,3033
2586,3022
2587,2950
2588,3108
2589,2960
2590,2946
2591,2961
2592,2959
2593,2958
2594,3018
2595,2998
2596,2979
2597,3088
2598,2979
2599,2987
2600,3069
2601,3084
2602,3015
2603,2989
2604,3028
2605,3042
2606,2977
2607,3102
2608,3094
2609,2979
2610,3049
2611,3029
2612,3034
2613,3018
2614,3000
2615,3050
2616,3110
2617,3031
2618,2999
2619,3119
2620,3008
2621,3030
2622,3084
2623,3036
2624,3060
